"","pub_date","main","score"
"61","1990-01-03","A Deficit of $65 Million Is Seen in Connecticut",-0.25
"62","1990-01-03","Wales All-Stars Led by Lemieux",0
"63","1990-01-03","Volcano Spews Plume In Largest Outburst Yet",-0.166666666666667
"64","1990-01-03","BRIEFS",0
"65","1990-01-03","Israeli Sought in Panama May Have Been Alerted to U.S. Invasion",0.333333333333333
"66","1990-01-03","Let Marketplace Repair Our Crumbling Nation",-0.2
"67","1990-01-03","Eligible Bachelors (And They Cook)",0
"68","1990-01-03","None but the Homeless Stopped; None but the Homeless Helped",0
"69","1990-01-03","Andover Offers Tuition Prepayment",0.25
"70","1990-01-03","Vincent T. Malone, Stockbroker, 64",0
"71","1990-01-03","THE MEDIA BUSINESS: Advertising;   Addenda",0
"72","1990-01-03","Alan Colby Green, 54, Cooper Union Official",0.166666666666667
"73","1990-01-03","Good Fortune Prompts Gifts For Neediest",0.8
"74","1990-01-03","Bank of Boston Acts to Offset Bad Property Loans",0
"75","1990-01-03","EATING WELL",0.5
"76","1990-01-04","Syracuse Rallies to Defeat Pittsburgh",0
"77","1990-01-04","Group Halts Deal With L. J. Hooker",0
"78","1990-01-04","Hot-and-Cold Nets Losers Again",-0.333333333333333
"79","1990-01-04","Arthur Gold, a Canadian Pianist Performing in a Duo, Dead at 72",0
"80","1990-01-04","Q&A",NA
"81","1990-01-04","DINKINS WILL DELAY HIRING OF RECRUITS FOR POLICE FORCE",-0.142857142857143
"82","1990-01-04","Kentucky Job Brings A Cast of Characters",0
"83","1990-01-04","Surgery for Liut",0
"84","1990-01-04","Don't Let Privacy Be a Luxury for the Wealthy;   The Telephone Game",0.285714285714286
"85","1990-01-04","Tragedy and Loss Stir Some To Give to the Neediest Cases",-0.166666666666667
"86","1990-01-04","Howard Helps North Carolina State Top Clemson",0.142857142857143
"87","1990-01-04","G.M. Displays the Impact, An Advanced Electric Car",0.2
"88","1990-01-04","New Coach, Old Faces Bring Hope to Devils",0
"89","1990-01-04","News Summary",0
"90","1990-01-04","Review/Ballet;   So Much for 'Nutcracker'; Back to the Repertory",0.2
"91","1990-01-04","U.S. Petroleum Data",0
"92","1990-01-04","Noriega's Surrender: Army;   For First Time, a Woman Leads G.I.'s in Combat",0
"93","1990-01-04","Forecast of AIDS Cases Is Cut by 10%",0
"94","1990-01-04","A Deputy Police Head Will Join Philip Morris",0.285714285714286
"95","1990-01-04","Stiff Security for Militant as Gaza Trial Opens",0.333333333333333
"96","1990-01-04","Don't Let Privacy Be a Luxury for the Wealthy;   A Bigger Threat",0
"97","1990-01-04","With a New Charter and New Powers, the City Council Votes Itself a Raise",0
"98","1990-01-04","BRIEFS",0
"99","1990-01-04","Knicks Set for Oakley's Return As He Says His Knee Is Better",0.285714285714286
"100","1990-01-04","Computer Chip Fails on Venus-Bound Craft",-0.2
"101","1990-01-05","Science Has No Doubts on Theory of Evolution;   Dogs vs. Dogs",-0.166666666666667
"102","1990-01-05","Operation Just Begun",0.333333333333333
"103","1990-01-05","Lebanese Shiite Rivals Step Up Fighting",-0.4
"104","1990-01-05","At La Salle, It Pays to Be Nice",0.666666666666667
"105","1990-01-05","Corrections",1
"106","1990-01-05","Science Has No Doubts on Theory of Evolution",-0.25
"107","1990-01-05","BRIEFS",0
"108","1990-01-05","Dinkins Says He Favors Special Fund to Hire Police",0.285714285714286
"109","1990-01-05","Quaker State Plan",0.333333333333333
"110","1990-01-05","U.S. Marshals Conferring on Overcrowded Prisons",0
"111","1990-01-05","Corrections",1
"112","1990-01-05","Inmates Set Up a Barricade In Jail Protest in Jersey City",-0.285714285714286
"113","1990-01-05","Fresh, Hot and Headed for Fame",0.25
"114","1990-01-05","Giants Need New Script To Win",-0.2
"115","1990-01-05","Rangers' High Hopes Undergo a Pounding",0
"116","1990-01-05","James P. McDonald, Publicist, 73",0
"117","1990-01-05","Diner's Journal",0
"118","1990-01-05","Corrections",1
"119","1990-01-05","Motorist Gets 13 Years In Violence With Van",-0.4
"120","1990-01-05","Insider Case Is Settled",0.333333333333333
"121","1990-01-05","Pop/Jazz;   Jazz Concerts Will Benefit An Ailing Innovator",0.285714285714286
"122","1990-01-05","Surge in Oil Prices Falters As Gradual Decline Is Seen",-0.142857142857143
"123","1990-01-05","Fresh, Hot and Headed for Fame, These Are the Faces to Watch;   Dance",0.285714285714286
"124","1990-01-05","Countdown Starts for Flight Of Shuttle to Save Satellite",0.166666666666667
"125","1990-01-05","Vladimir Ussachevsky, 78, Electronic Composer",0
"126","1990-01-06","Inside",0
"127","1990-01-06","Katmandu Journal;   Some Room at the Top of the World",0
"128","1990-01-06","Radio Show to Feature Works by Beckett",-0.2
"129","1990-01-06","Patents;   A Tape Measure With Digital Readout",0.2
"130","1990-01-06","One Constant: Winning",0
"131","1990-01-06","Israeli Denies in TV Interview He Served as Noriega Adviser",-0.166666666666667
"132","1990-01-06","Patents;   New Flea Repellant",0
"133","1990-01-06","Travelers' Security Precautions",1
"134","1990-01-06","Tokyo Official Takes on Bastion of Sexism, and Loses",-0.166666666666667
"135","1990-01-06","Joseph Anderson, 75, Ex-Military Attache",0.25
"136","1990-01-06","Alexis P. Fekula, Choral Conductor, 58",0
"137","1990-01-06","Racial Manipulation in Boston",-0.333333333333333
"138","1990-01-06","Review/Music;   Philharmonic In Concerto By Neikrug",0
"139","1990-01-06","Grand Juries: Wasteful and Pointless",-0.25
"140","1990-01-06","COURT OVERTURNS AWARD TO FAMILY IN SMOKING DEATH",0
"141","1990-01-06","Keating Questioned By Judge",-0.333333333333333
"142","1990-01-06","Manila to Dismiss 126,000",-0.5
"143","1990-01-06","Gertrude Simon Kosting, Health-Care Worker, 84",0
"144","1990-01-06","The Noriega Case: Intelligence Operations;   U.S. Worry: What Damage Can Noriega Do?",-0.125
"145","1990-01-06","Anheuser-Busch",0
"146","1990-01-06","80 Days With Michael Palin, In Pursuit of Phileas Fogg",0
"147","1990-01-06","Theodore I. Felner, 81, Former Textile Official",0
"148","1990-01-06","For New York Area, 20 Lessons in Real Estate",0.166666666666667
"149","1990-01-06","M.T.A. Amplifier Ban Is Blocked by Judge",0
"150","1990-01-06","Letter: On Abortion;   The Problem of Parental Notification",-0.2
"151","1990-01-07","Coals to Newcastle?",0
"152","1990-01-07","Praising Big Blue",0.333333333333333
"153","1990-01-07","Jane Mintzer Plans To Marry in March",0.2
"154","1990-01-07","Recitals to Rouse One From Holiday Slumber",0.2
"155","1990-01-07","Corrections",1
"156","1990-01-07","Fashion;   Resort Wear: Beyond the Beach",0
"157","1990-01-07","Out of Patience",1
"158","1990-01-07","Savory Fried Bread Of New Mexico",0
"159","1990-01-07","Apartment Conversions Worsen Quality of Life",0
"160","1990-01-07","BOTH SIDES LOST",-0.5
"161","1990-01-07","Corrections",1
"162","1990-01-07","Montana Paces 49ers to Victory",0.333333333333333
"163","1990-01-07","British Bullies Toppled From Pulpit",-0.25
"164","1990-01-07","Cuomo Remarks on Abortion Confuse Both Sides",0
"165","1990-01-07","Review/Music;   'The Princess as Unorthodox Bride': Chinese Tradition in a Modern Opera",0.25
"166","1990-01-07","Flashback: A Video Tour Of the 80's",0
"167","1990-01-07","Review/Music;   Seeking Intelligence in Outer Space",0.2
"168","1990-01-07","Corrections",1
"169","1990-01-07","And Then This U.F.O. Landed . . .",0
"170","1990-01-07","Aromatic Dishes From India",0
"171","1990-01-07","HE PARKED HIS CONSCIENCE IN THE HANGAR",0.333333333333333
"172","1990-01-07","A RELUCTANT EDUCATION",0
"173","1990-01-07","Theaters With Something to Say",0
"174","1990-01-07","Villanova Surprises Syracuse at Dome",0
"175","1990-01-07","Schools Renovating Neglected Buildings",0
"176","1990-01-08","Effort to Insure Adirondacks' Future Leads Planner to Albany and Beyond",0.125
"177","1990-01-08","U.S. Mustn't Stop Insisting on Trade Fairness;   Bad Press for Japan",0
"178","1990-01-08","Lillian Vernon Corp reports earnings for 13wks to Nov 24",0
"179","1990-01-08","U.S. Woman Tells of Salvadoran Ordeal",-0.25
"180","1990-01-08","Review/Music;   Strings and 2 Guitars",0
"181","1990-01-08","U.S. Disputes Korean's Account",0
"182","1990-01-08","Landing the Bargain Boat",0.333333333333333
"183","1990-01-08","Non-Persons No Longer",0
"184","1990-01-08","Ian Charleson, 40, An Actor Acclaimed For 'Chariots of Fire'",0
"185","1990-01-08","Upheaval in the East: Bucharest;   Rallies Criticize Rumania's New Leaders",-0.125
"186","1990-01-08","Tokyo Journal;   Emperor Stops for Traffic Lights; Is It a Portent?",0.142857142857143
"187","1990-01-08","The U.S. and Panama: The Trial;   Lawyers for Noriega Spurn Deals and Assail Witnesses",-0.125
"188","1990-01-08","On Rights, New York Looks to State, Not U.S., Law",0.5
"189","1990-01-08","2 Holders Seek Role With G.M.",0
"190","1990-01-08","2 Players Raise Their Games All the Way to the Top;   Hull Lives Up To His Name",0.125
"191","1990-01-08","Digital Tape Machines Expected by July",0
"192","1990-01-08","Indians and Neighbors Are at Odds Over Waste Dump on Reservation",-0.5
"193","1990-01-08","Healthwatch Inc reports earnings for Qtr to Sept 30",0
"194","1990-01-08","Freda Corp reports earnings for 13wks to Aug 26",0
"195","1990-01-08","Water Main Breaks Disrupt Gas Service In Lower Manhattan",-0.375
"196","1990-01-08","For the Likely Successor to Garcia, an Eloquent Pride",0.6
"197","1990-01-08","Reality Hits Rams' Hero",0.25
"198","1990-01-08","Chronicle",0
"199","1990-01-08","Rams Win Toss and Game as Giants' Season Ends",0.142857142857143
"200","1990-01-08","Veterans Ignoring Free Burial, Agency Says",0
"201","1990-01-09","Knogo Corp reports earnings for Qtr to Nov 30",0
"202","1990-01-09","Market Place;   Behind Delay in Farley Deal For West Point-Pepperell",-0.125
"203","1990-01-09","Councilman Issues Apology For Comments on Minorities",0
"204","1990-01-09","Governments Minimizing Message of 'Drug Wars'",-0.2
"205","1990-01-09","Temple H. Buell, 94, Philanthropist, Is Dead",-0.25
"206","1990-01-09","Chronicle",0
"207","1990-01-09","Corrections",1
"208","1990-01-09","Books of The Times;   Letters From an Unlikely Literary Friendship",0.166666666666667
"209","1990-01-09","Giants Played Well Enough to Win, but. . . .",0.4
"210","1990-01-09","Metro Datelines;   Bomb Case Figure Receives Probation",-0.142857142857143
"211","1990-01-09","j Check Here for Tax Refund Lottery",-0.25
"212","1990-01-09","Sharp Rise in Sabotage Is Reported in Ethnic Conflict in Azerbaijan",-0.285714285714286
"213","1990-01-09","Bronko Nagurski Is Dead at 81; Star Runner for Chicago Bears",-0.142857142857143
"214","1990-01-09","Full-Blooded Candor Is Revived, and Evils Not of Dracula Unfold",0.166666666666667
"215","1990-01-09","BRIEFS",0
"216","1990-01-09","Loss of Gas Disrupts Life In Chelsea And Village",-0.333333333333333
"217","1990-01-09","Braves' Pact for Evans",0.333333333333333
"218","1990-01-09","Review/Music;   Composer's First Opera Reopens Schubertiade",0
"219","1990-01-09","Treasury Notes and Bonds Drop",-0.25
"220","1990-01-09","G.M. Denies Funds a Role On Its Board",-0.25
"221","1990-01-09","Politics Aside, Flyers and Soviets Resume Action Tonight",0.142857142857143
"222","1990-01-09","Eye Drug Approved By F.D.A.",0.5
"223","1990-01-09","For Broncos and Browns, It's a Familiar Encounter",0.25
"224","1990-01-09","Promotion at Viking",0
"225","1990-01-09","Ash Gathered After Blast at Mount St. Helens",-0.2
"226","1990-01-10","Gun That May Be Stuart's Is Found",-0.25
"227","1990-01-10","MGM/UA Communications Co. reports earnings for Qtr to Nov 30",0.166666666666667
"228","1990-01-10","Browns' Mack Back in Form After an Unhappy Autumn",0
"229","1990-01-10","A Rich New Biotech Frontier",0.25
"230","1990-01-10","Cable TV Is No Longer A Stepchild",0
"231","1990-01-10","Food Notes",0
"232","1990-01-10","Abortion, Harassment and RU 486",-0.5
"233","1990-01-10","1 Park, 2 Superpowers",0
"234","1990-01-10","Real Estate;   Sprucing Up Marcos Gem On Wall St.",0.166666666666667
"235","1990-01-10","U.S. Forgives Portion Of Kenya's Loan Debt",0.2
"236","1990-01-10","The U.N. Today",0
"237","1990-01-10","Plan Unveiled for Improving Minority Education",0.4
"238","1990-01-10","PRESIDENT ASSAILS BOMBINGS IN SOUTH",-0.5
"239","1990-01-10","Books of The Times;   Politician and Soldier, in Tandem",0
"240","1990-01-10","Upheaval in the East;   Party to Organize in the East",0
"241","1990-01-10","Revival Bought With Tourist Dollars",0.25
"242","1990-01-10","Commodity Case Details Emerging",-0.25
"243","1990-01-10","CHRONICLE",0
"244","1990-01-10","Big Owner of Department Stores Appears on Brink of Bankruptcy",-0.142857142857143
"245","1990-01-10","Social-Service Professionals Make Donations to Neediest",0.2
"246","1990-01-10","Action Staffing Inc. reports earnings for Qtr to Nov 30",0
"247","1990-01-10","RESULTS PLUS",0
"248","1990-01-10","Patients to Benefit From Reforms for Interns;   Approach Is Too Broad",0.5
"249","1990-01-10","Students' Skills Termed 'Dreadfully Inadequate'",-0.2
"250","1990-01-10","McCaw Plans New Shares",0.25
"251","1990-01-11","Ranger Draftee Felled",0
"252","1990-01-11","Late Goal By Leetch Brings a Tie",0
"253","1990-01-11","FNW Bancorp reports earnings for Qtr to Dec 31",0
"254","1990-01-11","Soviet Bloc Trade Group Says It Needs to Make Big Changes",-0.111111111111111
"255","1990-01-11","CLOSE TO HOME",0
"256","1990-01-11","Bulgaria Pledges an Investigation Of Bizarre '78 Killing in London",-0.166666666666667
"257","1990-01-11","I.R.A. Political Aide Charged in Terror Case",0
"258","1990-01-11","Tele-Metropole reports earnings for Qtr to Nov 26",0
"259","1990-01-11","BRIEFS",0
"260","1990-01-11","To Keep the Home Fires Burning",-0.5
"261","1990-01-11","Peru Detains 15,000 in Hunt For the Killers of Ex-Minister",-0.6
"262","1990-01-11","Endotronics Inc. reports earnings for Qtr to Sept 30",0
"263","1990-01-11","Several Governors Oppose Plan on Acid Rain",-0.333333333333333
"264","1990-01-11","Stocks Continue to Slide; Dow Off by 15.36",0.25
"265","1990-01-11","Hollywood Starts an Invasion Of Europe's Booming Market",0.166666666666667
"266","1990-01-11","Lithuanians Cry 'Freedom!' On Eve of Gorbachev Visit",0.166666666666667
"267","1990-01-11","Mexico Eases Import Rules",0.5
"268","1990-01-11","Looking Back for Designs of the Future",0.25
"269","1990-01-11","Veronex Resources Ltd. reports earnings for Qtr to Nov 30",0.142857142857143
"270","1990-01-11","Beijing's Very Small 'Big Event'",0
"271","1990-01-11","Boston Technology Inc. reports earnings for Qtr to Oct 31",0
"272","1990-01-11","Publishing Units Merge",0
"273","1990-01-11","Jail Officers File Suit Over Abortion Rule",0
"274","1990-01-11","Orion Pictures Corp. reports earnings for Qtr to Nov 30",0
"275","1990-01-11","Metro Datelines;   Part of 5th Ave. Shut In Search for a Leak",-0.142857142857143
"276","1990-01-12","Washington Talk;   Traveling Salesman Of 'Retail Politics'",0.333333333333333
"277","1990-01-12","Savings Unit Seized by U.S.",0
"278","1990-01-12","BUSINESS DIGEST",0
"279","1990-01-12","Alexander Lowenthal, Businessman, 91",0
"280","1990-01-12","Metro Datelines;   Former Accountant Is Sentenced in Theft",-0.166666666666667
"281","1990-01-12","F.B.I. SETTLES SUITS BY BLACK WORKERS ON DISCRIMINATION",0.166666666666667
"282","1990-01-12","Outdoors;   Telemark Skiing Makes Fast Tracks",0
"283","1990-01-12","Harmony and Dissonance as N.C.A.A. Meets",0.5
"284","1990-01-12","A European Market for Consumer Goods Opens",0.4
"285","1990-01-12","Reporter's Notebook;   Business as Usual at City Hall (the Tone Is What's New)",0
"286","1990-01-12","A Scholarly Mystery: ''Z'' Writes Darkly of Communism, but Who Is ''Z''?",-0.2
"287","1990-01-12","No Headline",0
"288","1990-01-12","The Beat Goes On at the Board of Estimate (for the Time Being, at Least)",-0.166666666666667
"289","1990-01-12","Campeau Takes Steps to Bolster The Credibility of Its U.S. Stores",0.333333333333333
"290","1990-01-12","Corrections",1
"291","1990-01-12","Holiday on Monday",0
"292","1990-01-12","New York Officials Mobilizing for Drive For an Exact Census",0.142857142857143
"293","1990-01-12","4 Assembly Plants Are Shut Down by Ford",0
"294","1990-01-12","Editors' Note",0
"295","1990-01-12","On Stage",0
"296","1990-01-12","3 Steelers Vying for Hall",0
"297","1990-01-12","Royal Ballet Drops Plans To Tour U.S.",-0.2
"298","1990-01-12","National Standards Won't Improve Education",0.6
"299","1990-01-12","Money Fund Assets Up",0.333333333333333
"300","1990-01-12","Publisher at Scribner's",0
"301","1990-01-13","A. Schulman reports earnings for Qtr to Nov 30",0
"302","1990-01-13","LaFontaine and Islanders Filling Seats and Fueling Hopes tickets may be.",0.25
"303","1990-01-13","AIDS Doctor Is Asked Details About Needle",0
"304","1990-01-13","Upheaval in the East: The Baltics;   Nationalists in Vilnius Turn Down Soviet Call for New Secession Law",-0.0909090909090909
"305","1990-01-13","AIDS Panel Endorses Doctor for Health Post",0.5
"306","1990-01-13","Japan Goes Full Throttle on Tests of Magnetic Levitation Trains",0.375
"307","1990-01-13","Melamine Chemicals reports earnings for Qtr to Dec 31",0
"308","1990-01-13","Upheaval in the East: Rumania;   Requiem for a Dictatorship, Sung Slightly Off-Key",-0.25
"309","1990-01-13","After Fatal Purse-Theft, A 'Safe' Area Is Edgy",0
"310","1990-01-13","Oak Hill Sportswear reports earnings for Qtr to Dec 31",0
"311","1990-01-13","Applying for State Grants",0.333333333333333
"312","1990-01-13","Real-Estate Investment Concern Bears Its Founder's Image",-0.333333333333333
"313","1990-01-13","71.46 Drop Puts Dow At 2,689.21",-0.333333333333333
"314","1990-01-13","Corrections",1
"315","1990-01-13","Lyle Wheeler, 84; Art Director Won 5 Academy Awards",0.285714285714286
"316","1990-01-13","Florafax International Inc. reports earnings for Qtr to Nov 30",0
"317","1990-01-13","KEY RATES",0
"318","1990-01-13","Temtex Industries reports earnings for Qtr to Nov 30",0.166666666666667
"319","1990-01-13","Bronx Principal Named in Cover-Up Is Suspended",0
"320","1990-01-13","Review/Dance;   Of Movement for Movement's Sake",0
"321","1990-01-13","Columbia Snares Its 11-Ton Quarry After a Hunt in Space",-0.333333333333333
"322","1990-01-13","SPORTS OF THE TIMES",0
"323","1990-01-13","Review/Dance;   'Prodigal Son' Weaves Poignancy and Motion",0
"324","1990-01-13","Reserve Industries reports earnings for Qtr to Nov 30",0.166666666666667
"325","1990-01-13","Wordstar International Inc. reports earnings for Qtr to Nov 30",0
"326","1990-01-14","Question Of the Week;   Is the N.F.C. The Better Conference?",0.2
"327","1990-01-14","'Successful People Laugh at Themselves'",0.333333333333333
"328","1990-01-14","Unequal Collaborators",0
"329","1990-01-14","Lisa Rieger Wed To M. W. Claman",0
"330","1990-01-14","CHILDREN'S BOOKS: Bookshelf",0
"331","1990-01-14","Correction",1
"332","1990-01-14","The Call of the Roads Brings A Driver Back Home",0.333333333333333
"333","1990-01-14","Is Anybody Listening?",0
"334","1990-01-14","Social Events",0
"335","1990-01-14","Costly Opinion",-1
"336","1990-01-14","Thomas Fletcher, Rector, 75",0
"337","1990-01-14","Correction",1
"338","1990-01-14","WHEN THE MEN IN BLUE FADE INTO BLAND",-0.25
"339","1990-01-14","A Textbook Victory for Devils",0
"340","1990-01-14","Amy Freedman To Wed in June",0
"341","1990-01-14","On Fire, a Soviet Jet Crashes, Killing 23 People in the Urals",-0.285714285714286
"342","1990-01-14","UConn Capitalizes On Seton Hall Mistakes",-0.2
"343","1990-01-14","Congress Is As Skeptical As Ever on Salvador Aid",0
"344","1990-01-14","Residential Resales",0
"345","1990-01-14","Margaret Monaco Is Wed in Darien",0
"346","1990-01-14","Anna Esaki Wed To Craig S. Smith",0
"347","1990-01-14","Christa M. Carey Weds Richard Dunn",0
"348","1990-01-14","UPHEAVAL IN THE EAST: Rumania;   Government in Bucharest Curbs Protests",-0.285714285714286
"349","1990-01-14","Hints of Change as Board Convenes",0.25
"350","1990-01-14","Take It Away, Cleveland",0
"351","1990-01-15","Corrections",1
"352","1990-01-15","Carolina Bancorp Inc. reports earnings for Qtr to Dec 31",0
"353","1990-01-15","NORIEGA LAWYERS OBJECT TO PHOTO",0
"354","1990-01-15","American Medical Internaional reports earnings for Qtr to Nov 30",0
"355","1990-01-15","A New Hands-On Manager For New York City Transit",0.142857142857143
"356","1990-01-15","Lift Manufacturing Ban on Phone Companies;   Trans-Soviet Cable",0.142857142857143
"357","1990-01-15","How to Honor Dr. King",0.5
"358","1990-01-15","THE MEDIA BUSINESS: Advertising;   An Agency As Depicted On a TV Hit",0
"359","1990-01-15","Coghlan Rolls in Comeback",0.333333333333333
"360","1990-01-15","Review/Pop;   Lambada, Would-Be Craze by Way of Paris",-0.166666666666667
"361","1990-01-15","Bulls-Knicks Is No Rematch",0
"362","1990-01-15","Comprehensive Care Corp. reports earnings for Qtr to Nov 30",0.285714285714286
"363","1990-01-15","U.S. Soldiers Detain Cuban",-0.333333333333333
"364","1990-01-15","Bryn Mawr Bank Corp. reports earnings for Qtr to Dec 31",0
"365","1990-01-15","Regional Ticket Lottery",0
"366","1990-01-15","Michael Fuchs, Mover Who Led Archives, 78",0
"367","1990-01-15","Outdoors: Winter Travel, Step by Step",0.2
"368","1990-01-15","U.S. Acknowledges Arrest of Agent",0.333333333333333
"369","1990-01-15","Fonar Corp.  reports earnings for Qtr to Sept 30",0
"370","1990-01-15","Marshall & Ilsley Corp. reports earnings for Qtr to Dec 31",0
"371","1990-01-15","OUST COMMUNISTS, SOFIA CROWD YELLS",-0.2
"372","1990-01-15","Review/Concert;   Music of Afghanistan With Indian Influences",0
"373","1990-01-15","Baltics + Z - F.S.R.",0
"374","1990-01-15","David Wells MacEachron, 66, Ex-Leader of the Japan Society",0.166666666666667
"375","1990-01-15","BRIEFS",0
"376","1990-01-16","Old Kent Financial Corp. reports earnings for Qtr to Dec 31",0
"377","1990-01-16","Montana-Elway Matchup",0
"378","1990-01-16","Communications Transmision Inc. reports earnings for Qtr to Nov 30",0.142857142857143
"379","1990-01-16","Struck Dumb by the Incredible: 1-800-NOTHING",-0.75
"380","1990-01-16","Auditors Not to Blame For Thrifts Crisis",-0.25
"381","1990-01-16","Microcom Inc. reports earnings for Qtr to Dec 31",0
"382","1990-01-16","Autrex Inc. reports earnings for Qtr to Oct 31",0
"383","1990-01-16","Todd-AO Corp. reports earnings for Qtr to Nov 30",0
"384","1990-01-16","Judge Quickly Assumes Active Role in the Stores",0
"385","1990-01-16","Imagine Being in the Other Person's Shoes",0.333333333333333
"386","1990-01-16","Octel Communications Corp. reports earnings for Qtr to Dec 31",0.142857142857143
"387","1990-01-16","Cornell Names Coach",0
"388","1990-01-16","For Shoppers, Shopping as Usual",0
"389","1990-01-16","Upheaval in the East;   An Abundance Of Hired Guns",-0.2
"390","1990-01-16","Basic Beyond Simple",0.333333333333333
"391","1990-01-16","Sixers Sign Lloyd",0
"392","1990-01-16","Data Translation Inc. reports earnings for Qtr to Nov 30",0
"393","1990-01-16","Metropolitan Federal S & L Assn reports earnings for Qtr to Dec 31",0
"394","1990-01-16","United's Pilots Working on Deal",0
"395","1990-01-16","Vivigen Inc. reports earnings for Qtr to Dec 31",0
"396","1990-01-16","Joseph S. Clark Is Dead at 88; Ex-Mayor and Reformist Senator",-0.166666666666667
"397","1990-01-16","Learonal Inc. reports earnings for Qtr to Nov 30",0
"398","1990-01-16","2 Florida Players Are Suspended",-0.333333333333333
"399","1990-01-16","O'Toole's Group reports earnings for Qtr to Dec 3",0
